종목코드,종목명,시장구분,종가,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
366030,공구우먼,KOSDAQ,8150,7940,8200,7940,94748,770465990,184339552500,22618350
76340,관악산업,KONEX,6000,0,0,0,0,0,29228760000,4871460
9290,광동제약,KOSPI,6200,6160,6230,6150,38606,239145930,325009276200,52420851
14200,광림,KOSDAQ,1006,0,0,0,0,0,91250936176,90706696
17040,광명전기,KOSPI,2685,2630,2685,2625,277143,735829520,116361496275,43337615
29480,광무,KOSDAQ,4090,4035,4130,3940,501610,2034038275,178361509390,43609171
17900,광전자,KOSPI,2485,2495,2550,2450,1102574,2747693875,143990251055,57943763
37710,광주신세계,KOSPI,33200,33050,33250,32950,969,32110650,264178708000,7957190
26910,광진실업,KOSDAQ,4735,4665,4820,4665,30596,144507540,30329592675,6405405
397880,교보11호스팩,KOSDAQ,2230,2230,2235,2210,4217,9391360,9901200000,4440000
421800,교보12호스팩,KOSDAQ,2095,2095,2125,2095,4331,9079265,12528100000,5980000
440790,교보13호스팩,KOSDAQ,2110,2105,2130,2105,7487,15798980,8545500000,4050000
30610,교보증권,KOSPI,5280,5260,5330,5210,36282,191797270,341369402880,64653296
339770,교촌에프앤비,KOSPI,8890,8810,8920,8810,23298,206142930,222094780600,24982540
53270,구영테크,KOSDAQ,3635,3555,3680,3490,1397771,5030010440,96202372395,26465577
7690,국도화학,KOSPI,43600,43950,43950,43400,2574,111933300,392862857600,9010616
5320,국동,KOSPI,1130,1101,1135,1087,239881,268229319,64829823250,57371525
1140,국보,KOSPI,570,0,0,0,0,0,60521978130,106178909
66620,국보디자인,KOSDAQ,16500,16500,16570,16480,3113,51374290,123750000000,7500000
43650,국순당,KOSDAQ,6410,6340,6450,6330,8523,54483690,114471728640,17858304
6050,국영지앤엠,KOSDAQ,1400,1389,1400,1375,80142,110953999,48853340200,34895243
60480,국일신동,KOSDAQ,2955,2920,2990,2920,13998,41188115,32770950000,11090000
78130,국일제지,KOSDAQ,800,0,0,0,0,0,102093978400,127617473
307750,국전약품,KOSDAQ,6370,6270,6470,6230,133781,853531590,312571243530,49069269
2720,국제약품,KOSPI,4275,4240,4300,4220,30391,129596215,90458281800,21159832
243870,굿센,KONEX,12200,12190,12200,12190,20,243900,31522421000,2583805
35080,그래디언트,KOSDAQ,19780,15530,20200,15510,3315921,62819099300,307135611520,15527584
204020,그리티,KOSDAQ,3045,2980,3045,2930,164286,492691170,61348924350,20147430
83420,그린케미칼,KOSPI,9750,9560,9810,9520,58374,564597770,234000000000,24000000
186230,그린플러스,KOSDAQ,10160,10020,10170,10000,20388,205190230,109933110080,10820188
14530,극동유화,KOSPI,3660,3620,3660,3620,40013,145613805,127622077200,34869420
900070,글로벌에스엠,KOSDAQ,797,791,801,781,75767,60176740,42833942496,53743968
204620,글로벌텍스프리,KOSDAQ,4155,4060,4155,4020,320859,1315686490,228016095600,54877520
19660,글로본,KOSDAQ,1673,1650,1692,1632,53852,89925706,58204918058,34790746
14280,금강공업,KOSPI,5210,5200,5240,5180,13598,70728410,152805949970,29329357
14285,금강공업우,KOSPI,10280,10250,10280,10250,54,554070,6063915000,589875
53260,금강철강,KOSDAQ,6410,6400,6420,6330,20103,128166640,119995200000,18720000
8870,금비,KOSPI,101900,101700,103500,99800,5269,534933500,101900000000,1000000
1570,금양,KOSPI,51500,53600,54300,50800,2116217,1.10968E+11,2989576905500,58050037
282720,금양그린파워,KOSDAQ,17410,17440,17950,17410,67550,1190903820,211000495000,12119500
2990,금호건설,KOSPI,6240,6210,6270,6200,13276,82769970,230590432800,36953595
2995,금호건설우,KOSPI,20350,20350,20350,20350,10,203500,5947613100,292266
11780,금호석유,KOSPI,131300,128200,131900,128200,29011,3784952700,3848969165600,29314312
11785,금호석유우,KOSPI,69500,69900,69900,69500,8362,582225900,210132277000,3023486
214330,금호에이치티,KOSPI,784,776,788,760,326351,253438409,153774519696,196140969
1210,금호전기,KOSPI,950,947,994,940,94819,90187926,31562335450,33223511
73240,금호타이어,KOSPI,4915,4695,4950,4690,471383,2292506215,1411884310605,287260287
36190,금화피에스시,KOSDAQ,31900,31450,32300,31250,13808,441834050,191400000000,6000000
49080,기가레인,KOSDAQ,1559,1542,1566,1535,181262,281886944,132333137973,84883347
35460,기산텔레콤,KOSDAQ,3095,3065,3110,2995,178600,546810940,45116867300,14577340
92440,기신정기,KOSPI,3405,3400,3420,3390,8336,28306335,99426000000,29200000
270,기아,KOSPI,88000,87300,89100,87300,671212,59151170800,35671974536000,405363347
24110,기업은행,KOSPI,10100,10100,10130,10060,217094,2192526190,8054001276900,797425869
13700,까뮤이앤씨,KOSPI,1710,1745,1745,1689,144053,246164076,77210398800,45152280
308100,까스텔바작,KOSDAQ,7620,6930,7620,6920,153088,1107815610,50480465460,6624733
4540,깨끗한나라,KOSPI,2670,2640,2680,2640,18297,48606330,99432650310,37240693
4545,깨끗한나라우,KOSPI,17250,17300,17300,17080,134,2300830,6316260000,366160
407400,꿈비,KOSDAQ,16100,16100,16250,15820,43221,695644980,127816773000,7938930
187790,나노,KOSDAQ,1280,1207,1289,1197,360760,452205094,39064119040,30518843
286750,나노브릭,KOSDAQ,1901,1950,1998,1834,1560460,2972828000,38903107649,20464549
121600,나노신소재,KOSDAQ,129200,128700,130400,127500,99148,12816225400,1401604623600,10848333
247660,나노씨엠에스,KOSDAQ,14840,14670,15000,14490,10899,161045940,64463772800,4343920
39860,나노엔텍,KOSDAQ,5030,4925,5060,4925,29983,150019380,134842363810,26807627
91970,나노캠텍,KOSDAQ,916,895,923,892,42950,38898179,34274423588,37417493
417010,나노팀,KOSDAQ,28750,28950,29600,28700,223764,6535621200,550686930000,19154328
244880,나눔테크,KONEX,3330,3380,3380,3330,1250,4164500,16716600000,5020000
288490,나라소프트,KONEX,65,62,67,62,59270,3765083,2479555000,38147000
51490,나라엠앤디,KOSDAQ,7640,7500,7660,7360,54978,416095420,108488000000,14200000
137080,나래나노텍,KOSDAQ,8940,8820,8970,8630,53625,475686850,98871232680,11059422
190510,나무가,KOSDAQ,15770,15590,15900,15310,107413,1691218930,256252785680,16249384
242040,나무기술,KOSDAQ,2075,2020,2090,2020,224122,461947330,71807997800,34606264
89600,나스미디어,KOSDAQ,19800,19840,19880,19750,7529,149262840,229049627400,11568163
293580,나우IB,KOSDAQ,12400,0,0,0,0,0,118754800000,9577000
257990,나우코스,KONEX,4490,4600,5100,4220,667,2889295,26351325080,5868892
138610,나이벡,KOSDAQ,15440,14810,15450,14810,28678,433024880,153743475760,9957479
130580,나이스디앤비,KOSDAQ,6610,6620,6670,6580,2535,16770360,101794000000,15400000
36800,나이스정보통신,KOSDAQ,23750,23550,24100,23550,6510,155207850,237500000000,10000000
267320,나인테크,KOSDAQ,3350,3300,3355,3295,107795,358329335,131978455900,39396554
1260,남광토건,KOSPI,9130,9010,9280,9000,7863,71919100,89771382360,9832572
8350,남선알미늄,KOSPI,2930,2900,2995,2880,5572599,16420660395,378201733700,129079090
8355,남선알미우,KOSPI,25950,25200,26200,25200,715,18426750,7989745500,307890
4270,남성,KOSPI,2100,2025,2105,2025,55326,115279255,76045536000,36212160
3920,남양유업,KOSPI,504000,500000,505000,499500,141,70723000,362880000000,720000
3925,남양유업우,KOSPI,299000,299000,300000,298000,102,30464000,49831938000,166662
25860,남해화학,KOSPI,8700,8690,8740,8600,80383,697432140,432205934100,49678843
111710,남화산업,KOSDAQ,8050,7990,8100,7950,6507,52382730,165733400000,20588000
91590,남화토건,KOSDAQ,10300,10050,10340,9990,53755,550311130,120922000000,11740000
168330,내츄럴엔도텍,KOSDAQ,2780,2765,2795,2730,12924,35636920,88278622000,31754900
94860,네오리진,KOSDAQ,532,513,538,513,573710,304623221,55572600300,104459775
253590,네오셈,KOSDAQ,2930,2940,2940,2880,94834,275712910,112672054180,38454626
212560,네오오토,KOSDAQ,10220,10380,10450,9920,1169866,11857775750,80482121860,7874963
95660,네오위즈,KOSDAQ,44950,44150,45250,43700,56041,2506997500,990415669050,22033719
42420,네오위즈홀딩스,KOSDAQ,26650,25850,26900,25800,14888,392937750,236035478900,8856866
950220,네오이뮨텍,KOSDAQ,2920,2845,2940,2845,122277,355117295,288576197800,98827465
311390,네오크레마,KOSDAQ,8440,8400,8530,8300,27263,229811850,67828861800,8036595
85910,네오티스,KOSDAQ,4390,4365,4390,4345,9701,42400080,60708072020,13828718
92730,네오팜,KOSDAQ,22200,21650,22250,21550,53578,1179289400,182203414200,8207361
290660,네오펙트,KOSDAQ,1253,1246,1254,1235,16592,20686318,28831003740,23009580
306620,네온테크,KOSDAQ,3475,3515,3525,3450,263296,916283660,144954784325,41713607
153460,네이블,KOSDAQ,8570,8780,8780,8320,30118,254808970,55962219980,6530014
7390,네이처셀,KOSDAQ,10300,10150,10310,9900,440222,4461650040,645368706800,62657156
33640,네패스,KOSDAQ,17850,17640,17960,17300,63498,1130935520,411606755700,23059202
330860,네패스아크,KOSDAQ,21850,21300,22050,20650,23469,506477050,266221383250,12184045
5720,넥센,KOSPI,4185,4170,4200,4125,8764,36472125,224081543745,53543977
5725,넥센우,KOSPI,3040,3010,3045,3010,62,187865,10945824000,3600600
2350,넥센타이어,KOSPI,7710,7850,7930,7670,266610,2076795320,753019331670,97667877
2355,넥센타이어1우B,KOSPI,2940,2930,2975,2930,1328,3913945,19110000000,6500000
89140,넥스턴바이오,KOSDAQ,10390,10190,10560,10150,330198,3401784580,95789025720,9219348
137940,넥스트아이,KOSDAQ,560,563,564,547,88763,49259792,43859755520,78320992
396270,넥스트칩,KOSDAQ,9920,9810,10100,9660,294911,2933552300,175939532800,17735840
348210,넥스틴,KOSDAQ GLOBAL,61000,58700,61400,58700,34251,2076648600,607357114000,9956674
225570,넥슨게임즈,KOSDAQ,21100,21150,22050,20850,1010263,21677636100,1387559083400,65761094
217270,넵튠,KOSDAQ,8660,8480,8700,8430,22297,191319640,402749996480,46506928
251270,넷마블,KOSPI,58000,57100,58400,56400,85794,4950179100,4985303116000,85953502
317860,노드메이슨,KONEX,5990,0,0,0,0,0,26533992850,4429715
104620,노랑풍선,KOSDAQ,7840,7520,8080,7480,178190,1394969700,124202267840,15842126
90350,노루페인트,KOSPI,8840,8680,8860,8650,62167,544193260,176800000000,20000000
90355,노루페인트우,KOSPI,13570,13600,13600,13510,147,1988160,6284619820,463126
320,노루홀딩스,KOSPI,10150,10170,10280,10070,2508,25375580,134905182650,13291151
325,노루홀딩스우,KOSPI,21150,21250,21250,21100,1118,23675000,5151272850,243559
194700,노바렉스,KOSDAQ,8860,8840,8870,8750,17414,153397130,166167953280,18754848
285490,노바텍,KOSDAQ,28900,28450,28950,28000,30065,860993300,305641515900,10575831
283100,노보믹스,KONEX,3800,4355,4355,3800,311,1182355,24819958400,6531568
229500,노브메타파마,KONEX,14600,14960,14960,14300,556,8043710,143309395200,9815712
106520,노블엠앤비,KOSDAQ,411,0,0,0,0,0,15082036272,36695952
376930,노을,KOSDAQ,7460,7300,7460,7300,21511,159080080,85443333800,11453530
6280,녹십자,KOSPI,125200,124100,126300,123900,5932,742197500,1463154557600,11686538
142280,녹십자엠에스,KOSDAQ,4680,4615,4700,4585,23478,108851605,98828884440,21117283
234690,녹십자웰빙,KOSDAQ,7740,7680,7770,7600,6946,53607500,137402616240,17752276
5250,녹십자홀딩스,KOSPI,15890,15810,16030,15680,27057,429953770,747278256900,47028210
5257,녹십자홀딩스2우,KOSPI,30950,31000,31300,30700,72,2233300,26183390500,845990
65560,녹원씨엔아이,KOSDAQ,5770,0,0,0,0,0,150366921250,26060125
4370,농심,KOSPI,418000,422500,428500,413000,17867,7483727500,2542544356000,6082642
72710,농심홀딩스,KOSPI,72800,73900,73900,72000,3313,240815300,337631112000,4637790
